name,lat,lon
Esgl\u00e9sia fortificada de Sant Juli\u00e0 de Rab\u00f3s ,42.379044,3.028734
Esgl\u00e9sia fortificada de Sant Mart\u00ed de Llampaies,42.121083,2.936833
Esgl\u00e9sia fortificada de Sant Mart\u00ed del Far d\u2019Empord\u00e0,42.251865,2.996185
Esgl\u00e9sia fortificada de Sant Sebasti\u00e0,42.322495,3.184603
Esgl\u00e9sia fortificada de Santa \u00c0gata,42.372667,2.921000
Esgl\u00e9sia fortificada de Santa Eug\u00e8nia de Saus,42.132389,2.978667
Esgl\u00e9sia fortificada de Santa Maria de Vilamacolum ,42.195011,3.058405
Esgl\u00e9sia fortificada de Vilatenim,42.271194,2.994889
Esgl\u00e9sia parroquial de Sant Esteve,42.249583,2.914917
Esgl\u00e9sia parroquial de Sant Esteve,42.143667,2.954806
Convent de Sant Bartomeu de Bell-Lloc,42.308639,3.008028
Convent de Santa Maria de Gr\u00e0cia,42.135111,3.119806
Convent del Carme,42.307500,3.009722
Monestir de Sant Lloren\u00e7 de Sous,42.254681,2.714921
Monestir de Sant Pere de Rodes,42.323333,3.166111
Monestir de Santa Maria,42.248083,2.813472
Aiguamolls de l\u2019Empord\u00e0,42.225028,3.092250
B\u00fanquers de les Torres,42.331389,3.036389
B\u00fanquers de Punta Falconera,42.235472,3.218194
Claustre de Sant Dom\u00e8nec,42.307222,3.008333
Hospital de Pelegrins de Sant Pere de Rodes,42.323417,3.165333
Portal costa de les Monges,42.308861,3.008167
Portal d\u2019Albany\u00e0,42.304167,2.720306
Casa del Senyor,41.440102,1.865782
Casa forta del Mas Pontons,41.43536,1.536426
Torres Altes de Foix,41.411015,1.543643
Ajuntament de Vilafranca,41.346507,1.698001
Cal Gom\u00e0,41.347501,1.695827
Cal Maci\u00e0,41.346402,1.697937
Palau Balt\u00e0,41.3472,1.697061
Palau del marqu\u00e9s de Lli\u00f3,41.453657,1.703682
Palau Reial,41.346682,1.696839
Torre-ramona,41.421286,1.819867
Pont de les Masuques,41.288161,1.639053
Torre colomer de l\u2019Arbo\u00e7ar,41.327561,1.758989
Torre del Mas Pigot,41.289906,1.653978
Torrota de Can Pinya,41.420004,1.827019
Torrota d\u2019en Pasteres,41.417928,1.817372
Castell d&#8217;Aviny\u00f3,41.373056,1.773889
Castell d&#8217;Espitlles,41.316067,1.677577
Castell d&#8217;Ol\u00e8rdola ,41.303974,1.709718
Castell de Castellet,41.264599,1.636075
Castell de Castellvell de la Marca ,41.337608,1.578528
Castell de Foix,41.414867,1.563639
Castell de Font-Rub\u00ed ,41.439556,1.58724
Castell de Gelida ,41.43576,1.87039
Castell de la Bleda,41.344105,1.660869
Castell de la Granada ,41.378735,1.71913
Castell de Lavit,41.446682,1.729912
Castell de Les Pujades,41.332443,1.625928
Castell de Mediona ,41.476227,1.641531
Castell de Penyafel,41.316883,1.683421
Castell de Sant Mart\u00ed Sarroca ,41.380592,1.610345
Castell de Sant Quint\u00ed,41.460175,1.66665
Castell de Santa Fe ,41.384586,1.721125
Castell de Secabecs,41.436638,1.554528
Castell de Subirats ,41.415905,1.817417
Castell de Terrassola,41.447674,1.726669
Castell nou de Pontons ,41.407879,1.52445
Castell-convent de Penyafort,41.306313,1.658217
Torre d&#8217;Arbo\u00e7ar de Baix ,41.329605,1.76105
Torre de Cal Pep\u00f3,41.413776,1.545982
Torre de Cal Rei,41.421692,1.500642
Torre de Cal Xamanet,41.421398,1.498387
Torre de Can Guix\u00f3,41.419975,1.496166
Torre de Can Pascol,41.348484,1.573904
Torre de l&#8217;antic Hospital de Cervell\u00f3,41.345383,1.845977
Torre de la Font del Mingo,41.42421,1.782964
Torre de la Torreta,41.327026,1.57863
Torre de les Gunyoles,41.352352,1.779292
Torre de Moja ,41.326321,1.690325
Torre de Viladellops,41.305485,1.736526
Torre del Tel\u00e8graf de l\u2019Ordal,41.394919,1.874681
Torrota de Can Llopart,41.408672,1.800811
Torrota del moro,41.389031,1.762786
Bas\u00edlica de Santa Maria,41.347098,1.697644
Capella de la Mare de D\u00e9u de la Llinda,41.384464,1.756661
Capella de la Verge del Vinyet,41.340103,1.586875
Capella de Sant Andreu de l\u2019Avell\u00e0,41.445034,1.616178
Capella de Sant Benet d\u2019Espiells,41.439236,1.811708
Capella de Sant Elies,41.492111,1.667706
Capella de Sant Esteve de Moja,41.325889,1.690928
Capella de Sant Joan de la Ma\u00e7ana ,41.415851,1.634505
Capella de Sant Joan de la Muntanya,41.408011,1.525003
Capella de Sant Joan de Viladellops,41.305,1.735278
Capella de Sant Joan Samora,41.472061,1.866081
Capella de Sant Mart\u00ed Sadevesa,41.431925,1.692054
Capella de Sant Miquel,41.337584,1.578619
Capella de Sant Pere Sacarrera,41.488096,1.653281
Capella de Sant Salvador,41.41264,1.532405
Capella de Sant Vicen\u00e7 de Cal Cerd\u00e0,41.431272,1.65586
Capella de Santa Magdalena del Puig,41.43775,1.848147
Capella de Santa Margarida d\u2019Agulladol\u00e7,41.484231,1.680425
Capella de Santa Maria de la Sanabra,41.298261,1.662586
Capella de Santa Maria dels Albats,41.304977,1.713143
Capella de Santa Maria dels Horts,41.342417,1.721503
Capella de Santa Maria d\u2019Orpinell,41.5073,1.610508
Conjunt erem\u00edtic de Sant Pau,41.359061,1.682678
Ermita de la Mare de D\u00e9u de Montanyans,41.3032,1.63165
Ermita de Sant Joan del Lled\u00f3,41.380912,1.596013
Capella de Sant Joan,41.346302,1.698577
Capella de Sant Pelegr\u00ed,41.346848,1.696556
Esgl\u00e9sia de la Trinitat,41.348087,1.700104
Esgl\u00e9sia de Sant Esteve de Castellet,41.288211,1.64
Esgl\u00e9sia de Sant Joan Salerm,41.403703,0.752317
Esgl\u00e9sia de Sant Joan Sesrovires,41.420197,1.819986
Esgl\u00e9sia de Sant Mar\u00e7al de Terrassola,41.447694,1.726753
Esgl\u00e9sia de Sant Miquel d&#8217;Ol\u00e8rdola,41.3025,1.709444
Esgl\u00e9sia de Sant Pau d\u2019Ordal,41.381434,1.795841
Esgl\u00e9sia de Sant Pere de Castellet,41.264898,1.636882
Esgl\u00e9sia de Sant Pere de la Gornal,41.25421,1.592049
Esgl\u00e9sia de Sant Pere del castell de Subirats,41.416119,1.816636
